"N","dist","method","s_var_bias"
200,"Normal","Smriti_Default",-32.2266076672889
500,"Normal","Smriti_Default",-31.5399285004526
1000,"Normal","Smriti_Default",-31.3315421022395
5000,"Normal","Smriti_Default",-31.2559787389393
10000,"Normal","Smriti_Default",-31.2823163093345
100,"Outlier","Smriti_Default",-32.2317392209362
200,"Outlier","Smriti_Default",-32.7076373077102
500,"Outlier","Smriti_Default",-30.3394910960361
1000,"Outlier","Smriti_Default",-30.0701727236318
5000,"Outlier","Smriti_Default",-29.4169256039529
10000,"Outlier","Smriti_Default",-29.5238213496559
100,"t5","Smriti_Default",-32.0997614181344
200,"t5","Smriti_Default",-31.6704081725095
500,"t5","Smriti_Default",-31.7868947976511
1000,"t5","Smriti_Default",-31.303993537468
5000,"t5","Smriti_Default",-31.1944104774624
10000,"t5","Smriti_Default",-31.3201400068556
100,"Lognormal","Smriti_FIML",-18.7219235275409
200,"Lognormal","Smriti_FIML",-19.0960855870919
500,"Lognormal","Smriti_FIML",-19.0480016825143
1000,"Lognormal","Smriti_FIML",-18.7761882879306
5000,"Lognormal","Smriti_FIML",-18.5548999592008
10000,"Lognormal","Smriti_FIML",-18.6721378634612
100,"Normal","Smriti_FIML",-5.89216376738771
200,"Normal","Smriti_FIML",-4.52141001276208
500,"Normal","Smriti_FIML",-3.63006651910384
1000,"Normal","Smriti_FIML",-2.96937157591544
5000,"Normal","Smriti_FIML",-2.62929942415977
10000,"Normal","Smriti_FIML",-2.7092397934936
100,"Outlier","Smriti_FIML",-17.3358914766834
200,"Outlier","Smriti_FIML",-17.3563163290452
500,"Outlier","Smriti_FIML",-15.1738274367329
1000,"Outlier","Smriti_FIML",-15.0390819671821
5000,"Outlier","Smriti_FIML",-14.1871527497179
10000,"Outlier","Smriti_FIML",-14.3659169559929
100,"t5","Smriti_FIML",-3.4799741268867
200,"t5","Smriti_FIML",-2.52949340364746
500,"t5","Smriti_FIML",-2.08355471216926
1000,"t5","Smriti_FIML",-1.66691955997074
5000,"t5","Smriti_FIML",-1.45752842806792
10000,"t5","Smriti_FIML",-1.433013348623
100,"Lognormal","Smriti_Robust",-31.9057626635721
200,"Lognormal","Smriti_Robust",-32.1307181288132
500,"Lognormal","Smriti_Robust",-32.2409431652579
1000,"Lognormal","Smriti_Robust",-31.8285330311352
5000,"Lognormal","Smriti_Robust",-31.6153440779334
10000,"Lognormal","Smriti_Robust",-31.6698769230633
100,"Normal","Smriti_Robust",-26.9168203347939
200,"Normal","Smriti_Robust",-26.2543902260353
500,"Normal","Smriti_Robust",-25.5686118083436
1000,"Normal","Smriti_Robust",-25.3389635143927
5000,"Normal","Smriti_Robust",-25.2757784240556
10000,"Normal","Smriti_Robust",-25.2835156718637
100,"Outlier","Smriti_Robust",-29.5548409268306
200,"Outlier","Smriti_Robust",-30.5471590136138
500,"Outlier","Smriti_Robust",-27.7913555721439
1000,"Outlier","Smriti_Robust",-27.7527070552538
5000,"Outlier","Smriti_Robust",-27.1694159227263
10000,"Outlier","Smriti_Robust",-27.2684072546629
100,"t5","Smriti_Robust",-25.8073877494906
200,"t5","Smriti_Robust",-25.9328542326019
500,"t5","Smriti_Robust",-26.2565371168717
1000,"t5","Smriti_Robust",-25.9392983167964
5000,"t5","Smriti_Robust",-25.8626779706694
10000,"t5","Smriti_Robust",-26.0045493068787
