"method","Mean_Frob","SD_Frob"
"FIML",2.39445093923432,1.78787458032689
"Smriti_FIML",2.42889622685597,1.69706329336253
"MICE",4.82094169830934,2.91369639721722
"missForest",5.11435417825184,3.33606497883072
"Smriti_Robust",5.66080343478294,2.61240352138979
"missRanger",5.85030985353352,3.32513447102646
"FIML_Predict",6.20226863100092,2.71503339280389
"Smriti_Default",6.30352536971712,2.39724064625008
