"method","Display"
"Smriti_Default","6.27 → 5.74  (Δ -0.53)"
"Smriti_Robust","5.46 → 5.43  (Δ -0.03)"
"MICE","4.53 → 4.69  (Δ +0.16)"
"missRanger","5.61 → 5.79  (Δ +0.18)"
"missForest","4.76 → 5.23  (Δ +0.47)"
"FIML","1.33 → 3.31  (Δ +1.98)"
